granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,municip,municip3039,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,890,858,735,217,84.2,81.2,69.5,20.5,1057,Flå,2022-10-19
total,municip,municip3040,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2733,2616,2062,663,83.5,79.9,63,20.3,3273,Nesbyen,2022-10-19
total,municip,municip3041,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3807,3571,2792,841,81.6,76.5,59.8,18,4667,Gol,2022-10-19
total,municip,municip3042,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1967,1846,1389,306,75.3,70.7,53.2,11.7,2611,Hemsedal,2022-10-19
total,municip,municip3043,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3802,3613,2769,745,81.8,77.7,59.5,16,4650,Ål,2022-10-19
total,municip,municip3044,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3537,3355,2574,819,78.5,74.5,57.1,18.2,4504,Hol,2022-10-19
total,municip,municip3045,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2845,2646,2219,600,81.5,75.8,63.5,17.2,3492,Sigdal,2022-10-19
total,municip,municip3046,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1737,1630,1374,388,79.4,74.5,62.8,17.7,2189,Krødsherad,2022-10-19
total,municip,municip3047,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11410,10718,7965,1923,79.9,75.1,55.8,13.5,14273,Modum,2022-10-19
total,municip,municip3048,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15362,14326,10014,2807,76.6,71.5,50,14,20044,Øvre Eiker,2022-10-19
total,municip,municip3049,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21538,20056,15316,3335,78.1,72.7,55.5,12.1,27584,Lier,2022-10-19
total,municip,municip3050,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2157,2025,1682,410,79.3,74.4,61.8,15.1,2720,Flesberg,2022-10-19
total,municip,municip3051,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1157,1115,963,276,84.5,81.4,70.3,20.1,1370,Rollag,2022-10-19
total,municip,municip3052,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1947,1857,1431,332,79.3,75.6,58.3,13.5,2455,Nore og Uvdal,2022-10-19
total,municip,municip3053,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5621,5307,4166,1209,81.4,76.8,60.3,17.5,6908,Jevnaker,2022-10-19
total,municip,municip3054,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7432,6922,5333,1025,81.3,75.7,58.3,11.2,9144,Lunner,2022-10-19
total,municip,municip3401,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15007,14248,10772,2769,83.6,79.4,60,15.4,17949,Kongsvinger,2022-10-19
total,municip,municip3403,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26544,24764,19326,4372,83,77.4,60.4,13.7,31999,Hamar,2022-10-19
total,municip,municip3405,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23691,22272,17752,5026,83.3,78.4,62.5,17.7,28425,Lillehammer,2022-10-19
total,municip,municip3407,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25040,23596,17109,4498,82.7,78,56.5,14.9,30267,Gjøvik,2022-10-19
