granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,location_name
day,county,county15,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,4,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,5,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,2,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,2,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,3,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,2,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,1,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,0,Møre og Romsdal
day,county,county15,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,1,Møre og Romsdal
