granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip3041,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3748,3457,1365,80.8,74.6,29.4,4636,Gol,2021-12-23
total,municip,municip3042,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1953,1793,642,76.7,70.4,25.2,2546,Hemsedal,2021-12-23
total,municip,municip3043,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3731,3472,1408,80.3,74.7,30.3,4648,Ål,2021-12-23
total,municip,municip3044,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3547,3281,1351,80,74,30.5,4434,Hol,2021-12-23
total,municip,municip3045,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2824,2604,1353,81.5,75.2,39,3465,Sigdal,2021-12-23
total,municip,municip3046,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1732,1602,808,78.1,72.2,36.4,2219,Krødsherad,2021-12-23
total,municip,municip3047,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11263,10443,4356,79.5,73.7,30.7,14166,Modum,2021-12-23
total,municip,municip3048,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14969,13745,5508,76,69.7,27.9,19709,Øvre Eiker,2021-12-23
total,municip,municip3049,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21277,19175,6669,78.5,70.7,24.6,27118,Lier,2021-12-23
total,municip,municip3050,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2147,1978,916,79.1,72.9,33.8,2713,Flesberg,2021-12-23
total,municip,municip3051,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1153,1101,417,83.2,79.4,30.1,1386,Rollag,2021-12-23
total,municip,municip3052,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1945,1837,838,80.6,76.2,34.7,2412,Nore og Uvdal,2021-12-23
total,municip,municip3053,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5554,5142,2234,80.9,74.9,32.5,6867,Jevnaker,2021-12-23
total,municip,municip3054,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7326,6702,2708,80.8,74,29.9,9062,Lunner,2021-12-23
total,municip,municip3401,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14959,13863,6494,83.8,77.7,36.4,17851,Kongsvinger,2021-12-23
total,municip,municip3403,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26283,24103,9998,83.4,76.5,31.7,31509,Hamar,2021-12-23
total,municip,municip3405,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23556,21807,8892,82.7,76.5,31.2,28493,Lillehammer,2021-12-23
total,municip,municip3407,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24799,22862,7643,81.6,75.2,25.1,30395,Gjøvik,2021-12-23
total,municip,municip3411,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28221,25996,8810,80.9,74.5,25.2,34897,Ringsaker,2021-12-23
total,municip,municip3412,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6132,5726,2515,80.4,75.1,33,7625,Løten,2021-12-23
total,municip,municip3413,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,16677,15547,6461,79.1,73.8,30.7,21072,Stange,2021-12-23
total,municip,municip3414,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4169,3888,1659,82.8,77.2,32.9,5038,Nord-Odal,2021-12-23
total,municip,municip3415,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6456,6019,2488,81.6,76.1,31.4,7914,Sør-Odal,2021-12-23
total,municip,municip3416,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5218,4940,2856,85.6,81,46.8,6099,Eidskog,2021-12-23
total,municip,municip3417,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3917,3693,1888,86.2,81.3,41.5,4545,Grue,2021-12-23
total,municip,municip3418,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6010,5599,2600,83.2,77.5,36,7227,Åsnes,2021-12-23
total,municip,municip3419,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2955,2765,1293,82.4,77.1,36,3587,Våler,2021-12-23
total,municip,municip3420,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17329,16007,6343,81.4,75.2,29.8,21292,Elverum,2021-12-23
total,municip,municip3421,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5485,5114,2422,83.4,77.7,36.8,6580,Trysil,2021-12-23
total,municip,municip3422,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3507,3258,1604,80.8,75.1,37,4338,Åmot,2021-12-23
total,municip,municip3423,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1936,1829,897,81.4,76.9,37.7,2378,Stor-Elvdal,2021-12-23
total,municip,municip3424,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1498,1420,693,86,81.6,39.8,1741,Rendalen,2021-12-23
