granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,n_hospital_all_causes,date_of_publishing
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-07,2,5,7,2022-03-15
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-08,0,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-09,0,10,10,2022-03-15
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-10,0,4,6,2022-03-15
day,nation,norge,2020,total,total,2020,41,2020-41,2020/2021,12,2020-10-11,0,7,9,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-12,1,4,5,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-13,1,2,2,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-14,1,1,3,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-15,0,3,5,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-16,0,5,5,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-17,2,4,4,2022-03-15
day,nation,norge,2020,total,total,2020,42,2020-42,2020/2021,13,2020-10-18,1,3,3,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-19,0,1,1,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-20,0,8,9,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-21,1,10,14,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-22,2,5,6,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-23,0,4,7,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-24,1,7,8,2022-03-15
day,nation,norge,2020,total,total,2020,43,2020-43,2020/2021,14,2020-10-25,0,8,11,2022-03-15
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-26,1,12,14,2022-03-15
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-27,2,5,8,2022-03-15
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-28,0,7,9,2022-03-15
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-29,1,13,15,2022-03-15
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-30,1,6,8,2022-03-15
day,nation,norge,2020,total,total,2020,44,2020-44,2020/2021,15,2020-10-31,0,6,7,2022-03-15
